SIZE_OF_VECTOR,ITERATION,TIME - VECTOR, TIME - MATRIX2500,0,0.000046,0.000018
2500,1,0.000003,0.000003
2500,2,0.000003,0.000003
2500,3,0.000003,0.000003
2500,4,0.000003,0.000003
2500,5,0.000003,0.000003
2500,6,0.000003,0.000003
2500,7,0.000003,0.000003
2500,8,0.000003,0.000003
2500,9,0.000003,0.000003
10000,0,0.000028,0.000031
10000,1,0.000015,0.000015
10000,2,0.000014,0.000012
10000,3,0.000013,0.000013
10000,4,0.000013,0.000013
10000,5,0.000014,0.000014
10000,6,0.000015,0.000015
10000,7,0.000013,0.000013
10000,8,0.000013,0.000014
10000,9,0.000015,0.000034
22500,0,0.000071,0.000048
22500,1,0.000036,0.000036
22500,2,0.000029,0.000028
22500,3,0.000028,0.000028
22500,4,0.000028,0.000030
22500,5,0.000027,0.000029
22500,6,0.000030,0.000030
22500,7,0.000044,0.000027
22500,8,0.000060,0.000026
22500,9,0.000026,0.000026
40000,0,0.000048,0.000047
40000,1,0.000046,0.000046
40000,2,0.000045,0.000046
40000,3,0.000046,0.000045
40000,4,0.000046,0.000046
40000,5,0.000045,0.000045
40000,6,0.000045,0.000046
40000,7,0.000045,0.000046
40000,8,0.000045,0.000046
40000,9,0.000045,0.000045
62500,0,0.000073,0.000073
62500,1,0.000072,0.000072
62500,2,0.000072,0.000072
62500,3,0.000072,0.000071
62500,4,0.000071,0.000071
62500,5,0.000071,0.000078
62500,6,0.000071,0.000071
62500,7,0.000071,0.000071
62500,8,0.000072,0.000071
62500,9,0.000093,0.000111
90000,0,0.000163,0.000110
90000,1,0.000144,0.000110
90000,2,0.000105,0.000106
90000,3,0.000103,0.000103
90000,4,0.000102,0.000102
90000,5,0.000101,0.000102
90000,6,0.000160,0.000103
90000,7,0.000102,0.000103
90000,8,0.000102,0.000103
90000,9,0.000102,0.000103
122500,0,0.000142,0.000143
122500,1,0.000142,0.000143
122500,2,0.000142,0.000141
122500,3,0.000139,0.000147
122500,4,0.000140,0.000139
122500,5,0.000142,0.000261
122500,6,0.000176,0.000174
122500,7,0.000147,0.000145
122500,8,0.000145,0.000142
122500,9,0.000142,0.000141
160000,0,0.000185,0.000187
160000,1,0.000188,0.000186
160000,2,0.000274,0.000186
160000,3,0.000186,0.000179
160000,4,0.000183,0.000172
160000,5,0.000186,0.000171
160000,6,0.000179,0.000235
160000,7,0.000224,0.000194
160000,8,0.000183,0.000175
160000,9,0.000181,0.000229
202500,0,0.000286,0.000223
202500,1,0.000231,0.000219
202500,2,0.000228,0.000383
202500,3,0.000231,0.000220
202500,4,0.000343,0.000243
202500,5,0.000362,0.000263
202500,6,0.000233,0.000224
202500,7,0.000233,0.000221
202500,8,0.000229,0.000218
202500,9,0.000226,0.000217
